State,Date,Work Search,Benefit Year Earnings,Separation Issues,Able + Available ,Employment Service Registration,Base Period Wages,Other Eligibility Issues,All Other Causes,First Payment Timeliness (14 days),First Payment Timeliness (21 days),Improper Payment Rate,Fraud Rate,Nonmonetary Determination,New Metric,New Metric 2
AK,6/30/2020,1218,883,1393,1539,745,402,1250,677,49,63,4,10,77,74,44
AL,6/30/2020,1750,1659,877,584,973,392,1185,331,47,60,18,3,85,55,44
AR,6/30/2020,1060,554,931,1638,605,1104,787,1313,64,87,16,12,54,58,46
AZ,6/30/2020,857,381,1680,1538,823,437,381,1391,56,67,13,5,71,100,51
CA,6/30/2020,273,1092,1553,631,245,1622,1364,418,64,71,16,18,59,100,40
CO,6/30/2020,1127,1037,1597,588,266,875,1429,388,76,62,3,11,74,46,53
CT,6/30/2020,974,1227,1391,1238,1024,1185,1789,922,47,72,17,15,63,29,48
DC,6/30/2020,706,788,456,279,1782,528,917,1507,75,84,18,19,51,71,38
DE,6/30/2020,1554,380,1519,430,1779,1701,574,1187,77,52,17,16,95,86,22
FL,6/30/2020,829,502,1347,1523,1582,1386,1732,270,87,57,3,18,82,52,27
GA,6/30/2020,816,1359,1171,962,617,1084,1081,1119,73,65,22,21,94,100,39
HI,6/30/2020,911,427,854,1346,1449,466,592,1153,70,88,19,5,53,69,50
IA,6/30/2020,747,1199,1455,1008,916,1276,918,414,88,70,18,17,55,91,20
ID,6/30/2020,1386,1727,1793,842,1044,953,502,201,63,73,10,15,89,75,47
IL,6/30/2020,1284,891,1380,562,548,1246,1019,1091,73,65,21,12,87,32,50
IN,6/30/2020,335,1404,1051,272,813,1301,1111,428,70,71,5,14,60,46,30
KS,6/30/2020,1693,924,1001,703,1659,389,511,609,69,81,22,15,65,92,39
KY,6/30/2020,560,288,1695,1608,253,1383,1095,363,63,83,9,5,83,26,26
LA,6/30/2020,362,243,877,1342,1546,366,1343,891,83,74,9,8,85,36,33
MA,6/30/2020,1049,219,1401,1732,1213,546,691,645,81,56,13,9,93,49,50
MD,6/30/2020,676,1646,1263,1524,362,606,1335,1748,73,49,8,15,62,71,50
ME,6/30/2020,1494,818,746,1725,837,509,1287,331,82,62,20,8,54,89,42
MI,6/30/2020,1441,1288,449,1443,285,1247,1211,1517,83,68,7,12,86,61,27
MN,6/30/2020,321,1757,1683,779,1495,667,277,1686,78,65,13,16,59,51,33
MO,6/30/2020,860,1086,332,1124,1381,491,797,1045,54,63,21,3,73,19,27
MS,6/30/2020,1605,1222,1299,1496,1347,323,706,1283,56,45,12,6,90,87,27
MT,6/30/2020,1416,565,388,1754,490,1659,779,641,77,48,14,15,91,57,40
NC,6/30/2020,859,1502,1693,1294,986,970,1716,889,61,84,21,17,72,43,48
ND,6/30/2020,1776,1177,1793,873,1551,1063,971,1788,66,85,19,12,87,94,35
NE,6/30/2020,1126,615,1603,487,397,456,1525,320,62,55,5,15,62,27,37
NH,6/30/2020,1017,411,1418,1698,1581,805,1462,968,82,53,19,17,77,36,41
NJ,6/30/2020,433,525,1268,1454,1680,330,957,1149,90,59,7,19,83,24,42
NM,6/30/2020,761,1511,1038,1114,1442,1674,403,1267,59,71,14,4,53,25,32
NV,6/30/2020,1533,587,535,1480,865,565,1296,1305,64,71,7,14,71,33,55
NY,6/30/2020,483,1535,402,531,581,350,239,317,72,77,3,18,79,20,38
OH,6/30/2020,961,1157,867,781,451,1536,295,429,65,89,10,5,52,49,35
OK,6/30/2020,1059,1302,1380,233,311,844,1721,1296,78,70,10,9,54,82,27
OR,6/30/2020,803,477,1083,1595,1578,1085,1159,325,74,56,9,16,63,90,24
PA,6/30/2020,587,1794,483,266,562,684,1168,1677,56,73,22,12,61,73,34
PR,6/30/2020,1080,1037,306,1525,599,1421,1146,623,58,89,15,17,71,92,30
RI,6/30/2020,1221,378,1574,918,1572,775,832,1044,69,85,8,13,79,69,25
SC,6/30/2020,695,746,1165,1020,1179,1264,1097,1313,78,89,4,8,77,41,20
SD,6/30/2020,527,1395,1321,834,1130,915,334,638,63,64,9,17,92,54,24
TN,6/30/2020,1516,618,233,834,1450,1212,243,721,82,56,3,21,87,37,42
TX,6/30/2020,395,1516,1191,1619,683,1456,241,1637,49,49,16,4,80,45,20
US,6/30/2020,664,1275,388,906,432,1507,702,391,70,59,5,16,85,63,24
UT,6/30/2020,1475,1512,453,1456,403,1748,1785,978,55,86,10,16,78,66,43
VA,6/30/2020,553,1208,743,1325,1116,977,1251,584,61,70,8,3,64,52,29
VI,6/30/2020,821,1555,1470,1334,910,1430,1148,898,69,85,6,16,86,39,25
VT,6/30/2020,932,1656,984,1320,1637,1622,1537,453,86,67,18,8,91,95,44
WA,6/30/2020,1624,272,1774,1218,886,1537,344,1528,53,59,21,7,86,62,28
WI,6/30/2020,458,1242,497,1243,1523,456,932,712,68,60,16,21,94,96,54
WV,6/30/2020,1486,1020,1351,1081,1212,288,1700,1332,60,61,6,15,67,67,49
WY,6/30/2020,712,481,1404,1457,1059,1503,582,1689,84,68,4,22,82,56,31
AK,6/30/2021,830,1313,777,1448,1072,1280,948,428,80,49,5,10,79,51,29
AL,6/30/2021,1638,597,734,340,762,1527,561,1033,54,83,18,6,90,57,21
AR,6/30/2021,342,971,1623,812,1241,1519,270,1259,71,47,7,14,68,55,39
AZ,6/30/2021,523,1557,205,1716,521,1074,345,375,62,69,21,9,74,28,48
CA,6/30/2021,993,841,1048,1545,894,906,1708,1687,76,79,20,11,62,96,43
CO,6/30/2021,1688,1522,770,1224,838,756,1709,1574,81,52,10,9,70,35,38
CT,6/30/2021,919,1372,840,936,615,1096,1603,944,59,59,13,22,51,76,30
DC,6/30/2021,1115,1451,516,1286,1686,368,1101,1317,52,51,4,9,64,40,53
DE,6/30/2021,612,290,1238,1748,1647,1371,301,1266,52,77,13,14,61,48,23
FL,6/30/2021,1118,1180,292,1534,1128,276,828,1748,51,85,19,16,86,94,44
GA,6/30/2021,429,1279,1335,821,388,1251,872,390,49,76,18,20,57,29,36
HI,6/30/2021,261,1234,1416,765,1771,1426,720,1498,81,60,21,16,91,72,50
IA,6/30/2021,1609,339,583,505,794,1103,850,1186,60,53,10,10,92,87,40
ID,6/30/2021,1727,420,1513,1433,1354,447,1085,1200,48,66,17,17,94,78,54
IL,6/30/2021,1198,1724,1017,1742,635,374,816,542,63,61,4,3,95,48,46
IN,6/30/2021,741,911,1062,704,1624,801,299,1286,59,76,14,13,94,19,31
KS,6/30/2021,1328,981,1762,1199,570,1397,1214,894,46,87,19,8,54,99,27
KY,6/30/2021,1142,438,746,832,1709,1276,263,1491,74,79,6,18,70,46,24
LA,6/30/2021,1058,366,1604,366,1221,1311,1736,619,46,74,13,18,87,76,26
MA,6/30/2021,847,1343,1135,542,339,765,1549,794,65,88,14,10,65,15,26
MD,6/30/2021,1545,1451,1334,1016,948,1620,1077,1492,45,64,10,8,66,73,45
ME,6/30/2021,1544,1323,616,386,307,1432,1361,901,62,77,3,10,89,85,21
MI,6/30/2021,1681,1472,969,1598,1129,1150,538,375,89,54,3,3,71,38,37
MN,6/30/2021,244,1261,967,1041,1460,1475,1205,667,47,50,22,17,78,55,52
MO,6/30/2021,1232,460,1458,337,657,547,269,493,48,68,14,6,80,89,33
MS,6/30/2021,671,893,1707,934,1050,1029,707,1474,66,50,19,3,70,75,51
MT,6/30/2021,765,469,653,818,1234,1507,1046,1040,75,47,8,16,64,26,51
NC,6/30/2021,1622,635,1186,1289,776,1316,605,568,87,81,15,16,71,24,54
ND,6/30/2021,1745,1264,1583,362,861,253,1713,1164,88,85,20,21,85,99,43
NE,6/30/2021,1384,1162,1487,424,1014,208,463,1654,57,83,15,21,53,60,45
NH,6/30/2021,1369,811,921,1597,1784,579,504,1024,51,54,20,13,76,38,49
NJ,6/30/2021,901,962,814,427,1051,558,262,1061,60,81,11,5,78,99,25
NM,6/30/2021,924,1676,498,1395,608,748,231,1351,55,79,20,7,73,86,33
NV,6/30/2021,432,1068,1587,1324,1021,303,1214,1789,55,48,5,22,70,72,35
NY,6/30/2021,552,752,534,707,1472,1154,1005,927,84,73,19,16,55,10,54
OH,6/30/2021,703,1697,1667,1739,697,1405,898,1390,68,83,11,21,62,58,31
OK,6/30/2021,471,1181,245,1331,1785,746,406,558,76,69,13,3,90,49,41
OR,6/30/2021,247,805,1640,785,930,1331,225,322,51,83,9,12,95,61,23
PA,6/30/2021,855,786,1798,1261,515,1114,1315,211,68,63,22,9,84,67,38
PR,6/30/2021,1747,720,521,1358,1322,1710,1035,588,46,50,5,20,61,73,48
RI,6/30/2021,703,1527,578,902,905,225,991,1675,54,68,8,14,77,85,50
SC,6/30/2021,1593,320,1299,491,1552,903,1725,1097,60,68,19,10,67,82,51
SD,6/30/2021,610,943,1099,849,944,1626,1785,1170,67,70,15,6,75,100,44
TN,6/30/2021,1235,1204,1100,893,650,383,1747,1290,70,51,19,10,66,69,47
TX,6/30/2021,382,709,806,1792,617,1641,683,382,85,51,19,7,79,43,40
US,6/30/2021,234,403,819,947,794,821,593,698,69,48,19,6,60,12,20
UT,6/30/2021,1289,825,449,605,490,460,1748,1570,65,47,18,19,95,73,36
VA,6/30/2021,507,873,1704,396,610,478,1319,1619,47,55,20,6,62,46,22
VI,6/30/2021,1325,1649,259,1508,726,655,920,364,71,89,21,19,76,92,52
VT,6/30/2021,661,730,650,599,1783,1161,1619,818,70,81,6,16,76,75,41
WA,6/30/2021,459,520,1408,1627,1761,785,818,788,74,90,13,7,58,26,48
WI,6/30/2021,1793,1250,556,1015,1180,896,1761,963,47,63,12,7,67,13,40
WV,6/30/2021,1485,843,1543,233,775,725,691,961,66,84,14,18,93,100,26
WY,6/30/2021,1198,1380,1364,1771,564,614,689,1261,64,90,18,7,77,50,22
AK,6/30/2022,304,201,654,1590,1167,461,1767,556,60,74,20,14,57,24,27
AL,6/30/2022,572,1111,1345,1291,1200,981,1707,1648,90,80,10,7,59,85,44
AR,6/30/2022,634,874,606,1643,1487,483,502,919,80,90,20,6,92,65,45
AZ,6/30/2022,1404,1371,242,857,1524,433,319,421,51,61,4,6,58,45,29
CA,6/30/2022,401,511,237,707,1390,537,779,250,87,78,19,13,78,51,44
CO,6/30/2022,1411,304,1307,1380,1147,1579,843,361,79,60,5,10,55,31,40
CT,6/30/2022,861,1409,362,1626,1212,677,728,526,80,87,7,18,84,31,51
DC,6/30/2022,613,1108,1752,1279,722,1376,379,694,77,57,16,12,90,69,31
DE,6/30/2022,1121,965,1496,1642,1437,1280,539,1422,73,81,3,17,80,15,32
FL,6/30/2022,1417,727,1034,1527,379,706,408,776,80,66,19,16,84,85,37
GA,6/30/2022,795,1473,1798,1671,844,822,1031,642,57,68,21,14,60,95,54
HI,6/30/2022,1160,908,462,837,1493,1087,1211,697,76,77,4,17,80,77,49
IA,6/30/2022,746,857,450,253,1311,1791,914,581,64,52,4,11,79,32,48
ID,6/30/2022,1658,1343,916,1029,1105,1285,851,1148,78,81,18,20,73,74,54
IL,6/30/2022,1728,1727,993,1430,516,1278,1787,1132,75,73,7,15,56,23,51
IN,6/30/2022,1039,515,226,1580,1799,1055,1157,1673,88,80,10,14,78,52,43
KS,6/30/2022,1703,1757,844,1210,603,485,1114,556,53,74,10,15,52,63,49
KY,6/30/2022,1165,1285,574,967,1469,1185,500,530,49,79,20,14,83,80,26
LA,6/30/2022,766,463,1601,1652,1681,1741,1513,1150,69,87,10,17,74,53,30
MA,6/30/2022,322,1785,1109,821,434,1240,1051,1301,88,46,15,21,67,72,44
MD,6/30/2022,1206,1041,1187,1276,372,691,750,1764,51,55,22,8,53,76,40
ME,6/30/2022,732,303,946,1170,874,1645,898,1463,88,76,11,3,69,36,22
MI,6/30/2022,375,283,410,1054,1523,1546,727,1076,75,76,10,15,56,61,53
MN,6/30/2022,507,571,522,299,997,229,301,700,57,54,16,15,95,51,22
MO,6/30/2022,1280,1799,892,405,1776,1558,1530,1425,59,66,12,3,52,37,55
MS,6/30/2022,328,631,724,1560,1447,630,896,1248,89,81,17,19,67,27,26
MT,6/30/2022,846,316,1343,423,1735,1281,1272,623,89,59,11,16,92,64,27
NC,6/30/2022,374,617,926,1703,1099,300,362,1441,62,78,5,17,71,57,32
ND,6/30/2022,1646,1375,1788,358,1477,1593,500,566,54,65,8,16,73,55,26
NE,6/30/2022,446,750,1477,1646,1157,919,1644,412,62,60,9,14,74,97,27
NH,6/30/2022,1774,204,1457,871,848,945,535,1387,49,58,22,22,79,77,29
NJ,6/30/2022,201,255,1320,1490,322,524,897,554,70,71,22,17,64,76,21
NM,6/30/2022,1047,233,1470,793,278,1083,354,852,70,49,21,14,82,71,35
NV,6/30/2022,209,563,1493,952,211,1269,614,1722,46,56,7,3,60,29,43
NY,6/30/2022,1603,1492,1366,1031,1131,912,1628,1146,84,65,21,9,56,52,51
OH,6/30/2022,1673,1434,1406,363,1675,1715,1369,1654,78,72,5,9,61,82,22
OK,6/30/2022,1119,410,867,1255,1374,1561,1279,345,88,48,12,15,70,45,41
OR,6/30/2022,309,1648,231,616,716,869,867,535,59,51,19,19,91,10,32
PA,6/30/2022,833,1694,832,1341,1182,1561,435,1384,63,69,11,14,66,10,20
PR,6/30/2022,1609,694,1350,1511,445,1481,552,1421,71,46,12,12,59,40,31
RI,6/30/2022,1264,714,1609,539,1130,1575,1144,1115,46,58,10,9,58,19,48
SC,6/30/2022,1714,598,443,1038,555,1183,790,986,72,85,14,3,74,26,48
SD,6/30/2022,855,1289,813,832,467,947,1189,1617,83,55,10,12,79,13,24
TN,6/30/2022,710,850,1630,344,631,930,947,1287,79,90,12,5,95,37,35
TX,6/30/2022,1479,1361,582,1001,1498,767,1282,1595,80,64,12,8,74,31,20
US,6/30/2022,484,283,1752,875,482,479,1149,1116,54,85,10,18,95,71,44
UT,6/30/2022,1540,436,1599,707,1572,1330,1415,430,89,50,13,3,80,28,43
VA,6/30/2022,1267,599,1386,435,750,1345,1566,1460,51,63,19,3,87,43,37
VI,6/30/2022,1563,1780,1083,1116,1350,953,560,1149,85,47,9,20,88,68,39
VT,6/30/2022,793,1624,884,794,1344,261,1673,792,54,74,4,18,92,30,44
WA,6/30/2022,866,696,626,819,1070,1784,954,767,87,60,16,18,83,82,22
WI,6/30/2022,655,210,1300,1264,1347,314,940,1259,67,53,3,9,50,17,42
WV,6/30/2022,1777,527,1027,533,1099,250,1750,1233,80,55,21,15,51,51,42
WY,6/30/2022,1721,1135,567,646,222,1688,1341,1595,64,71,8,8,63,67,28
AK,6/30/2023,884,1483,736,1533,481,431,1305,1766,92.2,86.3,20,17,80,62,32
AL,6/30/2023,677,485,1201,1481,1584,1513,991,1421,41.1,51.9,12,10,66,53,20
AR,6/30/2023,906,647,694,1759,1528,1112,1136,1102,69.8,42.6,4,19,51,89,27
AZ,6/30/2023,1267,1686,432,230,1479,1379,620,666,67,38.1,10,10,59,62,37
CA,6/30/2023,1520,1800,691,1055,216,968,1720,1464,68.3,45.8,11,4,68,51,39
CO,6/30/2023,1763,1005,323,597,1436,1359,1459,843,42.6,45.9,12,21,55,69,28
CT,6/30/2023,1192,1544,822,949,1560,1637,1381,512,62.3,69.1,5,13,64,44,40
DC,6/30/2023,1716,1356,678,701,628,341,1789,1039,45.8,44.3,10,10,63,84,36
DE,6/30/2023,1271,1178,312,778,1175,962,1217,1686,63.2,41.1,17,5,63,90,52
FL,6/30/2023,1675,265,352,897,1319,1796,1145,366,72.1,4.9,4,8,58,93,45
GA,6/30/2023,1608,570,811,804,1523,771,1761,832,68,55.2,16,20,81,25,24
HI,6/30/2023,715,671,899,1646,644,1115,566,1199,71,48.1,6,21,57,60,24
IA,6/30/2023,1312,1068,1409,424,1599,346,1796,1227,85.4,79.4,6,4,82,32,43
ID,6/30/2023,963,854,1252,1225,1659,735,1085,796,93.4,83.3,17,4,65,64,24
IL,6/30/2023,816,1065,652,248,1608,1142,232,1768,74.3,77.7,7,19,61,73,26
IN,6/30/2023,1536,447,751,1122,507,663,607,982,72.7,62.8,19,14,71,79,34
KS,6/30/2023,387,547,275,1415,1374,1138,570,215,68.7,63,21,4,70,85,41
KY,6/30/2023,1466,1592,1095,1524,1466,1292,1608,909,48.7,25.6,3,9,62,26,33
LA,6/30/2023,1221,992,1306,1296,457,241,1406,840,65.5,73.9,8,17,74,54,31
MA,6/30/2023,639,1712,320,851,1739,411,1445,433,73.1,65.9,16,4,84,31,40
MD,6/30/2023,600,961,909,842,701,900,844,1644,59.8,51.3,14,15,75,81,23
ME,6/30/2023,981,817,1340,1041,512,401,297,937,81.3,95.7,21,7,76,100,24
MI,6/30/2023,1439,763,1341,1405,1359,732,672,1159,69.3,61.1,14,12,84,26,22
MN,6/30/2023,1707,651,1499,844,1517,241,228,1107,89,82.1,19,15,74,67,32
MO,6/30/2023,481,849,1576,479,427,1662,664,1718,80.2,77.3,6,5,91,85,34
MS,6/30/2023,985,289,1028,1085,1160,1050,1088,653,81.4,91.7,7,17,69,12,22
MT,6/30/2023,599,1342,519,1481,881,1335,908,1616,87.8,87,7,16,56,20,26
NC,6/30/2023,700,1521,834,1351,1566,1103,278,894,64.1,57.2,13,18,55,97,39
ND,6/30/2023,1351,425,505,1068,526,981,1675,438,97.9,91.3,18,9,93,85,20
NE,6/30/2023,400,866,502,1510,626,572,331,897,66.8,84.4,18,9,63,86,47
NH,6/30/2023,1001,1696,933,1746,1789,940,1197,763,75.1,78.4,19,5,66,58,23
NJ,6/30/2023,1786,637,1057,712,383,943,849,913,61.1,57,16,6,57,84,34
NM,6/30/2023,959,285,1420,1682,1319,1695,1738,1518,61.1,34.2,8,10,85,45,34
NV,6/30/2023,530,1769,1180,754,1780,384,923,627,56.1,12.4,18,3,82,46,40
NY,6/30/2023,330,819,1273,707,1040,1690,1402,857,66.6,54.2,22,6,64,39,20
OH,6/30/2023,1549,277,1444,1095,423,1106,743,1361,64.5,60.4,4,20,81,52,41
OK,6/30/2023,388,284,849,1017,453,337,840,1467,82,80.9,16,12,95,62,39
OR,6/30/2023,262,546,415,1365,1195,906,1071,1047,88.5,82.3,20,19,66,77,35
PA,6/30/2023,1597,1785,780,292,962,1772,421,276,45.8,40,11,13,60,63,28
PR,6/30/2023,1336,1791,648,899,1733,1588,879,754,73.6,70.3,19,12,86,83,37
RI,6/30/2023,573,694,1279,1150,296,657,815,337,87.5,68.9,21,10,70,21,27
SC,6/30/2023,1620,821,1550,1218,991,1008,377,1438,85.6,93.6,16,11,67,16,50
SD,6/30/2023,1651,469,389,1583,1176,1671,1350,1570,92.4,89.2,8,21,92,70,39
TN,6/30/2023,211,1361,1158,911,1283,1776,910,837,50.6,57.8,14,21,56,65,20
TX,6/30/2023,1692,571,794,1537,287,653,850,725,73.2,71.2,18,4,62,75,31
US,6/30/2023,1620,1038,395,463,322,969,1466,1119,68.1,58.2,12,17,56,78,54
UT,6/30/2023,961,376,400,1218,303,471,1476,646,88.5,92,10,16,73,35,43
VA,6/30/2023,768,667,941,1202,226,1633,1614,1070,46.4,28.5,19,18,92,13,30
VI,6/30/2023,1655,595,392,621,667,602,1285,262,43.2,65.1,20,13,61,59,27
VT,6/30/2023,921,1449,1532,1068,1708,484,1392,372,73.2,32.3,18,4,90,60,31
WA,6/30/2023,1379,358,616,477,883,510,329,391,56.7,59.5,18,14,82,69,42
WI,6/30/2023,1654,292,504,505,1051,606,1416,884,85,90.2,8,15,78,19,52
WV,6/30/2023,653,1768,847,291,800,1272,962,1439,82.5,80.1,9,4,94,15,36
WY,6/30/2023,214,1291,714,343,1431,1000,1446,643,94,90.8,12,16,69,83,37
AK,6/30/2024,1391,553,1664,687,1180,1170,989,1068,94.8,91.3,14,8,52,20,46
AL,6/30/2024,1672,1270,816,361,864,798,1484,919,32.8,30.9,17,17,65,46,24
AR,6/30/2024,680,496,627,411,565,523,1017,1727,61.3,11.6,5,21,67,31,20
AZ,6/30/2024,545,1653,657,1278,1393,1189,438,1686,52.1,20,8,20,87,42,37
CA,6/30/2024,1550,1049,630,1024,476,626,877,311,77.5,71.3,20,7,51,82,40
CO,6/30/2024,548,655,265,1528,1532,225,1088,1575,37.4,42.5,8,4,65,71,28
CT,6/30/2024,1457,1580,1387,1306,1193,1293,1030,527,70.1,83.4,5,21,91,20,32
DC,6/30/2024,1290,860,463,1248,1155,1227,1390,659,61.6,46.3,17,8,65,97,35
DE,6/30/2024,1732,1777,855,1510,1004,407,208,1367,63.9,41.5,7,18,56,97,37
FL,6/30/2024,1301,637,792,1644,528,1216,1244,324,77.4,18.2,15,8,90,37,20
GA,6/30/2024,456,1194,1435,849,1239,846,689,270,72.4,59.2,9,6,95,18,43
HI,6/30/2024,1252,1489,419,1304,811,1480,300,455,64.7,34.7,5,10,60,95,22
IA,6/30/2024,1234,1761,1329,769,1286,1617,620,877,81,83.9,10,8,84,10,25
ID,6/30/2024,1153,211,377,327,778,1680,934,312,92.5,75.2,9,12,87,30,48
IL,6/30/2024,1002,1062,1547,600,376,1505,1300,1189,84.3,82.7,17,21,85,20,48
IN,6/30/2024,1455,1612,878,447,1326,813,972,934,78.5,70.1,10,15,85,29,32
KS,6/30/2024,300,748,1784,506,728,836,1263,330,76.5,59.9,15,4,77,68,27
KY,6/30/2024,1134,1238,318,804,1033,934,1565,344,61.2,50.2,10,4,80,53,30
LA,6/30/2024,805,1377,1694,1603,1297,1502,1793,1515,64.8,76.2,7,19,57,39,40
MA,6/30/2024,1663,820,1771,505,1034,893,1012,1595,71.1,57.2,10,5,91,42,25
MD,6/30/2024,1495,648,423,846,1604,1552,1549,1295,64.5,42.4,13,19,80,69,35
ME,6/30/2024,956,567,453,1362,1044,1473,1267,1767,85.4,90.1,16,5,55,39,38
MI,6/30/2024,1242,835,1466,556,1580,232,474,1309,77.1,70.5,21,4,64,60,42
MN,6/30/2024,1085,256,1361,213,484,706,717,1177,88.6,83,17,3,79,99,46
MO,6/30/2024,887,1452,964,382,1140,1392,876,1190,73.4,67.7,12,8,74,29,53
MS,6/30/2024,1101,325,1005,1698,1284,758,855,1119,78,77.1,6,11,83,57,35
MT,6/30/2024,1456,863,833,1749,1675,793,1119,1572,62.9,64.4,5,19,50,78,26
NC,6/30/2024,1224,840,1599,1036,1739,1042,1228,533,65.6,67.3,11,5,90,28,30
ND,6/30/2024,1408,1331,1670,607,846,1744,889,1240,98.3,95.9,7,20,53,36,21
NE,6/30/2024,1364,1419,273,1686,258,278,965,1555,88.3,97.3,3,18,60,83,48
NH,6/30/2024,1252,1232,515,1541,234,1313,1265,814,83.5,91,11,10,72,92,31
NJ,6/30/2024,819,532,1620,1179,865,1191,378,1443,72.3,70.8,3,14,66,44,32
NM,6/30/2024,1577,748,801,436,223,240,482,264,63.9,32.1,17,13,87,31,36
NV,6/30/2024,536,1000,1375,1391,276,699,754,1619,81.8,61.2,15,21,54,64,49
